site,time,timeout,spp,type,defac,final_N,N_remaining,mass_remaining,cellulose,lignin,carbon,nitrogen,CN,LIG_N
ARC,8,7.99,THPL,L,0.078565863,0.932469942,0.739295703,53.747,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,9,9.01,THPL,L,0.078565863,0.999891316,0.733540041,49.327,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,10,10,THPL,L,0.078565863,0.923430127,0.625096265,45.89125,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
ARC,1,0.97,TRAE,L,0.078565863,0.551077124,1.12450925,79.9075,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,2,2.02,TRAE,L,0.078565863,0.778750909,1.505692732,76.7975,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,3,3,TRAE,L,0.078565863,0.72073329,1.239699868,67.43975,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,4,3.99,TRAE,L,0.078565863,0.8940208,1.551953617,68.06175,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,5,4.99,TRAE,L,0.078565863,1.059460026,1.74459295,64.39925,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,6,6,TRAE,L,0.078565863,0.867184443,1.457294774,65.74666667,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,7,6.99,TRAE,L,0.078565863,0.981404959,1.473412132,58.706,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,8,7.99,TRAE,L,0.078565863,0.957533517,1.38662234,56.63925,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,9,9.01,TRAE,L,0.078565863,1.083133755,1.385161916,50.22525,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
ARC,10,10,TRAE,L,0.078565863,1.219079118,1.446145921,46.00475,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
BCI,1,0.28,ACSA,L,0.782021177,1.247238661,1.27701837,87.036,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BCI,2,0.51,ACSA,L,0.782021177,1.502706839,0.780402549,44.02775,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BCI,3,0.77,ACSA,L,0.782021177,1.641786675,0.477523245,24.70925,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BCI,4,1.01,ACSA,L,0.782021177,2.246337629,0.523770875,21.73566667,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BCI,5,1.28,ACSA,L,0.782021177,2.099364626,0.544145121,22.4905,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BCI,1,0.28,BOGR,L,0.782021177,1.317846402,0.87111539,70.786,68.584,7.962,42.9575,0.96,44.95646553,7.811425611
BCI,5,1.28,BOGR,L,0.782021177,2.739948119,0.372675006,14.5345,68.584,7.962,42.9575,0.96,44.95646553,7.811425611
BCI,1,0.28,DRGL,L,0.782021177,2.752806649,0.942205364,73.26675,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BCI,2,0.51,DRGL,L,0.782021177,3.090313684,0.246989588,17.0515,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BCI,3,0.77,DRGL,L,0.782021177,2.710397449,0.097750263,7.70575,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
